"Idanha-a-Nova","Portugal","It is a UNESCO Creative City of Music."
"Lisbon","Portugal","It is older than Rome, Paris, and even London."
"Porto","Portugal","The Livraria Lello bookstore inspired the library in Harry Potter."
"Coimbra","Portugal","Its university library houses a colony of bats to protect books from insects."
"Viseu","Portugal","It has been voted several times as the city with the best quality of life in Portugal."
"Sintra","Portugal","Lord Byron once described it as a 'Glorious Eden'."
"Algarve","Portugal","It features a chapel built entirely of human bones (Capela dos Ossos in Faro)."
"Madrid","Spain","Home to Sobrino de Botín, the oldest restaurant in the world."
"Barcelona","Spain","The Sagrada Família has been under construction for over 140 years."
"Ibiza","Spain","The island's soil is orange due to the high iron content in pine needles."
"Valencia","Spain","It is the birthplace of the world-famous dish, Paella."
"Seville","Spain","It is home to the largest Gothic cathedral in the world."
"Madrid","Spain","It has the highest number of cloudless days of any European capital."
"Paris","France","The Eiffel Tower was originally intended to be a temporary installation."
"Bordeaux","France","It is the largest urban UNESCO World Heritage site."
"Lyon","France","It is known as the gastronomic capital of the world."
"Nice","France","The city's famous 'Salade Niçoise' was originally a dish for the poor."
"Monaco","Monaco","It is smaller than New York City's Central Park."
"Rome","Italy","It has a museum entirely dedicated to pasta."
"Milan","Italy","The Duomo di Milano took nearly six centuries to complete."
"Tirana","Albania","The city is famous for its vibrant, multi-colored buildings."
"Durres","Albania","Home to the largest Roman amphitheater in the Balkans."
"Vlore","Albania","This is where the Albanian Declaration of Independence was proclaimed in 1912."
"Shkoder","Albania","One of the oldest and most historic towns in the Balkans."
"Elbasan","Albania","Known for the 'Summer Day' festival, a major pagan-origin celebration."
"Berat","Albania","Known as the 'City of a Thousand Windows'."
"Gjirokaster","Albania","Known as the 'Stone City' for its unique Ottoman architecture."
"Andorra la Vella","Andorra","The highest capital city in Europe."
"Escaldes-Engordany","Andorra","Home to Caldea, the largest thermal spa complex in Europe."
"Encamp","Andorra","Features the Funicamp, one of the longest cable cars in the world."
"La Massana","Andorra","Home to Coma Pedrosa, the highest mountain in Andorra."
"Ordino","Andorra","Considered the cultural center of Andorra."
"Vienna","Austria","Known as the 'City of Dreams' because it was home to Sigmund Freud."
"Salzburg","Austria","The birthplace of Wolfgang Amadeus Mozart."
"Innsbruck","Austria","It has hosted the Winter Olympics twice."
"Graz","Austria","Arnold Schwarzenegger was born in a village just outside this city."
"Linz","Austria","The PEZ candy was invented here in 1927."
"Klagenfurt","Austria","Legend says the city was founded after a dragon was killed nearby."
"Bregenz","Austria","Famous for its floating opera stage on Lake Constance."
"Minsk","Belarus","The city has been destroyed and rebuilt 18 times throughout history."
"Brest","Belarus","Home to a massive fortress that was the first to be attacked in WWII."
"Gomel","Belarus","Known for its beautiful Rumyantsev-Paskevich Palace."
"Grodno","Belarus","A city that preserved many historic buildings despite WWII destruction."
"Vitebsk","Belarus","The birthplace of the famous painter Marc Chagall."
"Mogilev","Belarus","It was the temporary capital of the Russian Empire during WWI."
"Brussels","Belgium","The city has over 800 types of beer available."
"Antwerp","Belgium","It is known as the Diamond Capital of the world."
"Bruges","Belgium","Often called the 'Venice of the North' due to its many canals."
"Ghent","Belgium","It becomes the largest car-free zone in Europe during its festivals."
"Leuven","Belgium","Home to the world's largest brewing company, AB InBev."
"Liege","Belgium","Famous for the Liège waffle, which has caramelized sugar chunks."
"Berlin","Germany","It has more bridges than Venice."
"Munich","Germany","The first Oktoberfest was a horse race to celebrate a royal wedding."
"Hamburg","Germany","It has the largest warehouse district in the world (Speicherstadt)."
"Cologne","Germany","The Cathedral survived 14 aerial hits during WWII while the city was flat."
"Frankfurt","Germany","It has the only skyline in Germany with high-rise skyscrapers."
"Stuttgart","Germany","Both Mercedes-Benz and Porsche have their headquarters here."
"Düsseldorf","Germany","Known for its 'Altbier' and the longest bar in the world."
"Dresden","Germany","Known as the 'Florence on the Elbe' for its baroque architecture."
"Leipzig","Germany","The first daily newspaper in the world was published here in 1650."
"Sarajevo","Bosnia and Herzegovina","It hosted the first Winter Olympics in a socialist state."
"Mostar","Bosnia and Herzegovina","Famous for the Stari Most, a bridge where locals dive into the river."
"Banja Luka","Bosnia and Herzegovina","Known as the 'City of Greenery' due to its many parks."
"Tuzla","Bosnia and Herzegovina","The only European city with salt lakes in its center."
"Zenica","Bosnia and Herzegovina","Known as the steel capital of the region."
"Sofia","Bulgaria","It is one of the oldest cities in Europe, dating back 7,000 years."
"Plovdiv","Bulgaria","The oldest continuously inhabited city in Europe."
"Varna","Bulgaria","The world's oldest gold treasure was found in its necropolis."
"Burgas","Bulgaria","Home to the largest refinery in Southeastern Europe."
"Ruse","Bulgaria","Known as 'Little Vienna' for its Neo-Baroque architecture."
"Stara Zagora","Bulgaria","Known as the city of lime trees and poets."
"Zagreb","Croatia","It has a Museum of Broken Relationships."
"Split","Croatia","The city grew out of the retirement palace of Roman Emperor Diocletian."
"Dubrovnik","Croatia","It served as the filming location for King's Landing in Game of Thrones."
"Rijeka","Croatia","The torpedo was invented and first tested here."
"Zadar","Croatia","Home to the 'Sea Organ' which plays music using wave energy."
"Pula","Croatia","Has one of the best-preserved Roman amphitheaters in the world."
"Nicosia","Cyprus","The last divided capital city in the world."
"Limassol","Cyprus","Richard the Lionheart married Berengaria of Navarre here in 1191."
"Larnaca","Cyprus","The city is built on the ruins of the ancient kingdom of Kition."
"Paphos","Cyprus","The entire town is a UNESCO World Heritage site."
"Famagusta","Cyprus","It is known as the 'City of 365 Churches'."
"Prague","Czech Republic","Home to the largest ancient castle in the world."
"Brno","Czech Republic","Gregor Mendel discovered the laws of genetics here."
"Ostrava","Czech Republic","Known as the 'Steel Heart of the Republic'."
"Plzen","Czech Republic","The birthplace of Pilsner beer."
"Liberec","Czech Republic","Home to the oldest zoo in the former Czechoslovakia."
"Copenhagen","Denmark","More than 60% of residents commute to work by bicycle."
"Aarhus","Denmark","Named the European Capital of Culture in 2017."
"Odense","Denmark","The birthplace of fairy tale writer Hans Christian Andersen."
"Aalborg","Denmark","Known for its 'Limfjorden' waterfront and Viking burial sites."
"Esbjerg","Denmark","Home to the massive 'Men at Sea' white sculptures."
"Tallinn","Estonia","It was the first city in the world to offer free public transport to residents."
"Tartu","Estonia","Known as the 'Intellectual Capital' of Estonia."
"Narva","Estonia","The easternmost point of the European Union."
"Parnu","Estonia","Known as the 'Summer Capital' of Estonia."
"Viljandi","Estonia","Famous for its annual folk music festival."
"Helsinki","Finland","It has the highest number of saunas per capita of any city."
"Tampere","Finland","Known as the 'Manchester of the North' for its industrial history."
"Turku","Finland","The oldest city in Finland and its former capital."
"Oulu","Finland","Known as the 'Silicon Valley of the North'."
"Jyväskylä","Finland","Known as the 'Athens of Finland'."
"Kuopio","Finland","Famous for the 'Kalakukko', a traditional fish pasty."
"Athens","Greece","It is the birthplace of democracy and Western philosophy."
"Thessaloniki","Greece","Known for its vibrant street life and Roman structures."
"Patras","Greece","Known as Greece's 'Gate to the West'."
"Heraklion","Greece","Located near the ancient Palace of Knossos."
"Larissa","Greece","One of the oldest continuously inhabited cities in the world."
"Volos","Greece","The mythical starting point of Jason and the Argonauts."
"Rhodes","Greece","Once home to the Colossus, one of the Seven Wonders of the Ancient World."
"Budapest","Hungary","It has more thermal springs than any other capital city."
"Debrecen","Hungary","Known as the 'Calvinist Rome'."
"Szeged","Hungary","Known as the 'City of Sunshine'."
"Miskolc","Hungary","Home to a unique cave bath in Miskolctapolca."
"Pecs","Hungary","Known for its Zsolnay ceramics and early Christian tombs."
"Reykjavik","Iceland","It is the northernmost capital city of a sovereign state."
"Akureyri","Iceland","Known as the 'Capital of North Iceland' and is remarkably warm."
"Keflavik","Iceland","Home to the country's main international airport."
"Hafnarfjordur","Iceland","Famous for its supposed 'hidden people' or elves."
"Selfoss","Iceland","The resting place of chess champion Bobby Fischer."
"Dublin","Ireland","It was founded by Vikings in the 9th century."
"Cork","Ireland","Residents often refer to it as 'the real capital'."
"Limerick","Ireland","Gave its name to a popular form of five-line humorous poetry."
"Galway","Ireland","Known as 'The City of Tribes'."
"Waterford","Ireland","Ireland's oldest city, famous for its crystal glass."
"Riga","Latvia","It has the highest concentration of Art Nouveau architecture in the world."
"Daugavpils","Latvia","The birthplace of painter Mark Rothko."
"Liepaja","Latvia","Known as the 'City where the wind is born'."
"Jelgava","Latvia","Home to the largest Baroque palace in the Baltic states."
"Ventspils","Latvia","Known for its many 'Cow Parade' sculptures."
"Vaduz","Liechtenstein","The city's castle is still the residence of the Princely Family."
"Schaan","Liechtenstein","The largest municipality in the country by population."
"Balzers","Liechtenstein","Famous for its Gutenburg Castle perched on a hill."
"Eschen","Liechtenstein","Known for its traditional pre-Roman settlements."
"Triesen","Liechtenstein","Home to several historic industrial buildings from the cotton era."
"Vilnius","Lithuania","It has an independent 'republic' within the city called Uzupis."
"Kaunas","Lithuania","It was the temporary capital of Lithuania between the World Wars."
"Klaipeda","Lithuania","The only port city in Lithuania."
"Siauliai","Lithuania","Home to the Hill of Crosses, a major pilgrimage site."
"Panevezys","Lithuania","Known as the 'City of Mills'."
"Luxembourg City","Luxembourg","It is one of the three official capitals of the European Union."
"Esch-sur-Alzette","Luxembourg","Was the European Capital of Culture in 2022."
"Differdange","Luxembourg","Known as the 'Iron City' due to its steel industry history."
"Dudelange","Luxembourg","Home to the largest radio transmitter in Luxembourg."
"Diekirch","Luxembourg","The first city in Luxembourg to have a pedestrian zone."
"Valletta","Malta","One of the most concentrated historic areas in the world."
"Sliema","Malta","The main coastal resort and commercial hub of Malta."
"St. Julian’s","Malta","Known for its nightlife and the 'Spinola Bay' views."
"Mosta","Malta","Its church dome is one of the largest unsupported domes in the world."
"Birkirkara","Malta","The largest city in Malta by population."
"Chisinau","Moldova","Known as the 'White City' because of its limestone buildings."
"Tiraspol","Moldova","The capital of the unrecognized state of Transnistria."
"Balti","Moldova","Known as the 'Northern Capital' of Moldova."
"Bender","Moldova","Home to a massive 16th-century Ottoman fortress."
"Cahul","Moldova","Famous for its thermal spas and folk music."
"Podgorica","Montenegro","It was formerly known as Titograd from 1946 to 1992."
"Bar","Montenegro","Home to an olive tree that is over 2,000 years old."
"Budva","Montenegro","One of the oldest settlements on the Adriatic coast."
"Niksic","Montenegro","The second-largest city and home to the famous Nikšićko beer."
"Kotor","Montenegro","A UNESCO site famous for its steep walls and many cats."
"Amsterdam","Netherlands","It has more canals than Venice and more bridges than Paris."
"Rotterdam","Netherlands","Home to the largest port in Europe."
"The Hague","Netherlands","The only major city with a beach directly on the North Sea coast."
"Utrecht","Netherlands","Famous for its unique wharfs located below street level."
"Eindhoven","Netherlands","Known as the 'City of Light' because Philips was founded here."
"Groningen","Netherlands","A major student city where 50% of all trips are made by bike."
"Maastricht","Netherlands","The birthplace of the European Union and the Euro currency."
"Oslo","Norway","The Nobel Peace Prize is awarded here every year."
"Bergen","Norway","Known as the 'City of Seven Mountains' and the gateway to the fjords."
"Trondheim","Norway","Was the capital of Norway during the Viking Age."
"Stavanger","Norway","The oil capital of Norway and home to the Canning Museum."
"Tromsø","Norway","Commonly called the 'Paris of the North'."
"Warsaw","Poland","It was almost completely destroyed in WWII and meticulously rebuilt."
"Krakow","Poland","The Main Market Square is the largest medieval town square in Europe."
"Wroclaw","Poland","Famous for hundreds of small bronze gnome statues hidden around the city."
"Gdansk","Poland","The birthplace of the Solidarity movement that ended communism in Poland."
"Poznan","Poland","Famous for two mechanical goats that butt heads every day at noon."
"Lodz","Poland","Known for its long Piotrkowska Street, one of the longest commercial streets."
"Szczecin","Poland","The city layout is famously based on the same star pattern as Paris."
"Bucharest","Romania","The Palace of the Parliament is the heaviest building in the world."
"Cluj-Napoca","Romania","Known as the unofficial capital of the Transylvania region."
"Timisoara","Romania","The first city in mainland Europe to have electric street lighting."
"Iasi","Romania","Home to the first university in Romania."
"Constanta","Romania","The largest port on the Black Sea."
"Craiova","Romania","The administrative center of the Dolj County and a hub for art."
"Moscow","Russia","The Moscow Metro is one of the deepest and most beautiful in the world."
"Saint Petersburg","Russia","Known as the 'Venice of the North' for its many canals."
"Kazan","Russia","Known as the 'Third Capital of Russia'."
"Nizhny Novgorod","Russia","It was a closed city to foreigners during the Soviet era."
"Rostov-on-Don","Russia","Known as the 'Gateway to the Caucasus'."
"Volgograd","Russia","Formerly known as Stalingrad, site of a turning point in WWII."
"San Marino","San Marino","The world's oldest republic, founded in 301 AD."
"Dogana","San Marino","The main entry point for travelers arriving from Italy."
"Serravalle","San Marino","The most populous municipality in the country."
"Borgo Maggiore","San Marino","The market town of the republic for over 500 years."
"Belgrade","Serbia","One of the oldest continuously inhabited cities in Europe."
"Novi Sad","Serbia","Home to the EXIT Festival held in a medieval fortress."
"Niš","Serbia","The birthplace of the Roman Emperor Constantine the Great."
"Kragujevac","Serbia","Was the first capital of modern Serbia."
"Subotica","Serbia","Famous for its unique Hungarian-style Art Nouveau architecture."
"Bratislava","Slovakia","The only national capital that borders two independent countries."
"Kosice","Slovakia","Home to the oldest marathon in Europe (founded 1924)."
"Presov","Slovakia","Known for its unique salt-mining history."
"Nitra","Slovakia","The oldest city in Slovakia, mentioned in 828 AD."
"Zilina","Slovakia","A major industrial hub and gateway to the Mala Fatra mountains."
"Ljubljana","Slovenia","Its name translates to 'The Beloved One'."
"Maribor","Slovenia","Home to the world's oldest living grapevine (over 400 years old)."
"Celje","Slovenia","Known as the 'City of Counts'."
"Koper","Slovenia","The largest coastal town in Slovenia with an Italian influence."
"Velenje","Slovenia","One of the sunniest and newest cities in Slovenia."
"Stockholm","Sweden","The city is built on 14 islands connected by 57 bridges."
"Gothenburg","Sweden","Home to Liseberg, the largest amusement park in Scandinavia."
"Malmo","Sweden","Connected to Copenhagen by the massive Oresund Bridge."
"Uppsala","Sweden","Home to the oldest university in Scandinavia (founded 1477)."
"Vasteras","Sweden","The birthplace of the retail giant H&M."
"Orebro","Sweden","Famous for its beautiful 13th-century castle in the city center."
"Zurich","Switzerland","It has over 1,200 drinking fountains with fresh alpine water."
"Geneva","Switzerland","Known as the 'Peace Capital' and home to the Red Cross."
"Basel","Switzerland","Has the highest concentration of museums in the country."
"Bern","Switzerland","The city's symbol is the bear, and live bears live in a park there."
"Lausanne","Switzerland","The headquarters of the International Olympic Committee."
"Lugano","Switzerland","The largest Italian-speaking city outside of Italy."
"Kyiv","Ukraine","Home to the deepest subway station in the world (Arsenalna)."
"Lviv","Ukraine","Known as the 'Coffee Capital' of Ukraine."
"Odessa","Ukraine","Famous for the 'Potemkin Stairs' leading to the harbor."
"Kharkiv","Ukraine","The first capital of the Ukrainian Soviet Socialist Republic."
"Dnipro","Ukraine","A former closed city due to its secret rocket industry."
"Zaporizhzhia","Ukraine","Home to Khortytsia, the historic island of the Cossacks."
"London","United Kingdom","It was the first city in the world to have an underground railway."
"Manchester","United Kingdom","The world's first industrial city and the site where the atom was first split."
"Birmingham","United Kingdom","It has more miles of canals than Venice."
"Edinburgh","United Kingdom","The first city in the world to have its own fire brigade."
"Glasgow","United Kingdom","It has the only subway system in Scotland, called the 'Clockwork Orange'."
"Liverpool","United Kingdom","The hometown of the Beatles and a major historic port."
"Bristol","United Kingdom","The birthplace of the street artist Banksy."
"Leeds","United Kingdom","Home to the oldest continuously running film cinema in the UK."
"Vatican City","Vatican City","The smallest country in the world by both area and population."
"New York","United States","The first pizza parlor in the US opened here in 1905."
"Los Angeles","United States","The Hollywood sign originally read 'Hollywoodland'."
"Chicago","United States","The world's first skyscraper was built here in 1885."
"Houston","United States","It is the only major US city without formal zoning laws."
"Phoenix","United States","It is the sunniest major city in the world."
"Philadelphia","United States","Home to the first hospital and first library in the US."
"San Antonio","United States","The most visited city in Texas thanks to the Alamo."
"San Diego","United States","Known as the 'Birthplace of California'."
"Dallas","United States","The frozen margarita machine was invented here."
"San Francisco","United States","The Golden Gate Bridge was originally supposed to be black and yellow."
"Toronto","Canada","It is the most multicultural city in the world."
"Vancouver","Canada","Known as the 'Hollywood North' for its film industry."
"Montreal","Canada","It is the second-largest French-speaking city in the world."
"Calgary","Canada","Hosted the first Winter Olympics in Canada (1988)."
"Edmonton","Canada","Home to the largest shopping mall in North America."
"Winnipeg","Canada","The character Winnie-the-Pooh was named after this city."
"Quebec City","Canada","The only walled city north of Mexico in North America."
"Ottawa","Canada","Home to the Rideau Canal, the world's largest skating rink in winter."
"Mexico City","Mexico","It is sinking by about 10 inches every year."
"Guadalajara","Mexico","The birthplace of Mariachi music and Tequila."
"Monterrey","Mexico","Known as the 'Sultan of the North' and an industrial powerhouse."
"Puebla","Mexico","Where the Battle of Puebla (Cinco de Mayo) took place."
"Tijuana","Mexico","The most visited border city in the world."
"Leon","Mexico","Known as the 'Shoe Capital of the World'."
"Merida","Mexico","Built on the site of an ancient Mayan city called T'ho."
"Cancun","Mexico","The name translates to 'Nest of Serpents' in Mayan."
"Belize City","Belize","It was the capital until a hurricane forced the government to move inland."
"Belmopan","Belize","One of the newest and smallest capital cities in the world."
"San Ignacio","Belize","The gateway to the Mayan ruins of Xunantunich."
"Orange Walk Town","Belize","Known as 'Sugar City' because of the local sugar industry."
"Corozal Town","Belize","Located right on the border with Mexico."
"San José","Costa Rica","One of the first cities in the world to have electric street lighting."
"Alajuela","Costa Rica","The hometown of the national hero, Juan Santamaría."
"Cartago","Costa Rica","The former capital and home to the Basilica of Our Lady of the Angels."
"Heredia","Costa Rica","Known as the 'City of Flowers'."
"Limón","Costa Rica","Christopher Columbus landed here in 1502."
"San Salvador","El Salvador","Surrounded by several volcanoes, including the massive Boquerón."
"Santa Ana","El Salvador","Famous for its stunning Gothic-style cathedral."
"San Miguel","El Salvador","Known for hosting the biggest carnival in Central America."
"Mejicanos","El Salvador","Famous for its traditional 'Yuca con Chicharrón' dish."
"Soyapango","El Salvador","The most densely populated city in the country."
"Guatemala City","Guatemala","Located in a valley surrounded by three massive volcanoes."
"Quetzaltenango","Guatemala","Commonly called 'Xela' by the locals."
"Escuintla","Guatemala","Known as the 'City of the Palms'."
"Villa Nueva","Guatemala","A major industrial and residential hub near the capital."
"Mixco","Guatemala","Known for its traditional production of chocolate."
"Tegucigalpa","Honduras","The name means 'Silver Hill' in the local indigenous language."
"San Pedro Sula","Honduras","Known as the industrial capital of Honduras."
"La Ceiba","Honduras","Known as the 'Friendship City' and the ecotourism capital."
"Choloma","Honduras","The fastest-growing city in the country due to manufacturing."
"Comayagua","Honduras","Home to one of the oldest working clocks in the world."
"Managua","Nicaragua","It is located on a fault line and has suffered many earthquakes."
"Leon","Nicaragua","Home to the largest cathedral in Central America."
"Granada","Nicaragua","One of the oldest European-established cities in the Americas."
"Masaya","Nicaragua","Known as the 'City of Flowers' and for its active volcano."
"Estelí","Nicaragua","Famous for its high-quality cigar production."
"Panama City","Panama","The only capital city in the world that has a rainforest within city limits."
"Colón","Panama","The second-largest free-trade zone in the world."
"David","Panama","Known as the 'City of the Moon'."
"Chitré","Panama","Known as the 'City where no one is a stranger'."
"Santiago","Panama","The only city in Panama that has access to both oceans by land."
"Buenos Aires","Argentina","It has more bookshops per capita than any other city in the world."
"Córdoba","Argentina","Home to the oldest university in Argentina, founded in 1613."
"Rosario","Argentina","The birthplace of Che Guevara and Lionel Messi."
"Mendoza","Argentina","The heart of Argentina's wine industry, famous for Malbec."
"La Plata","Argentina","The first city in Latin America to have electric street lighting."
"Mar del Plata","Argentina","The most popular beach resort in the country."
"San Miguel de Tucumán","Argentina","The place where Argentina's independence was declared in 1816."
"La Paz","Bolivia","The highest administrative capital in the world."
"Santa Cruz de la Sierra","Bolivia","The most populous and economically active city in Bolivia."
"Cochabamba","Bolivia","Known as the 'City of Eternal Spring'."
"Sucre","Bolivia","The constitutional capital of Bolivia and a UNESCO site."
"Tarija","Bolivia","Known as the 'Bolivian Andalusia' for its wine and culture."
